genre,count
Acoustic,3
Ambient,39
Ambient black,16
Atmospheric,187
Avantgarde,98
Black,698
Blues rock,9
Brutal death,121
Cappella,1
Celtic,21
Comedy,2
Country,2
Crossover thrash,1
Crust,29
Dance,2
Dark,40
Darkwave,3
Death,712
Deathcore,32
Deathgrind,18
Djent,23
Doom,365
Drone,41
Electronic,7
Epic doom,10
Experimental,39
Extreme,83
Folk,152
Funeral doom,74
Fusion,7
Glam,32
Goregrind,10
Gothenburg,42
Gothic,265
Grindcore,146
Groove,39
Grunge,6
Hard rock,159
Hardcore,71
Heavy,492
Industrial,127
Instrumental,31
Jazz,7
Medieval,8
Melodic,418
Metalcore,90
Neoclassical,19
Neofolk,12
Nu,34
Pagan,74
Power,342
Progressive,655
Psychedelic,49
Punk,54
Rock,16
Shoegaze,16
Sludge,153
Speed,54
Stoner,108
Suomi,16
Symphonic,312
Technical,145
Teutonic thrash,4
Thrash,397
Viking,46
