year,population
1960,30786322073
1961,31198688844
1962,31749131664
1963,32432215473
1964,33122167297
1965,33828078352
1966,34571322687
1967,35312745454
1968,36067742980
1969,36860134487
1970,37663599353
1971,38488325433
1972,39307925119
1973,40121815934
1974,40937765743
1975,41738696090
1976,42525873683
1977,43309655854
1978,44107431889
1979,44922822213
1980,45747291012
1981,46590468283
1982,47467479021
1983,48354602048
1984,49241473558
1985,50149033071
1986,51086997394
1987,52050544300
1988,53024230831
1989,53996824485
1990,54975561503
1991,55922913545
1992,56845355564
1993,57768946565
1994,58684783261
1995,59606591960
1996,60515145533
1997,61426580855
1998,62329892182
1999,63224625307
2000,64111521648
2001,64994481903
2002,65868568534
2003,66746915419
2004,67631062227
2005,68520748235
2006,69415235946
2007,70312817818
2008,71224497719
2009,72144153355
2010,73069405080
2011,74004865481
2012,74933809608
2013,75905357994
2014,76865182160
2015,77836933571
